"year","season","region","cumulative_gold_medals","cumulative_silver_medals","cumulative_bronze_medals","cumulative_medals"
1972,"Summer","Canada",27,38,50,115
1972,"Summer","Serbia",12,15,9,36
1972,"Summer","Norway",38,31,32,101
1972,"Summer","Colombia",0,2,2,4
1972,"Summer","Austria",19,28,33,80
1972,"Summer","New Zealand",13,2,10,25
1972,"Summer","Switzerland",41,60,50,151
1972,"Summer","Iran",4,9,14,27
1972,"Summer","Uganda",1,2,1,4
1972,"Summer","Brazil",3,2,11,16
1972,"Summer","Greece",22,37,35,94
1972,"Summer","Ethiopia",3,1,2,6
1972,"Summer","Belgium",36,46,43,125
1972,"Summer","Tunisia",1,2,2,5
1972,"Summer","Lebanon",0,2,1,3
1972,"Summer","Jamaica",3,6,1,10
1972,"Summer","Pakistan",2,3,1,6
1972,"Summer","Mexico",6,8,12,26
1972,"Summer","Nigeria",0,0,2,2
1972,"Summer","Denmark",29,58,48,135
1972,"Summer","South Korea",0,5,7,12
1972,"Summer","Spain",2,4,3,9
1972,"Summer","India",7,3,3,13
1972,"Summer","Turkey",23,12,7,42
1972,"Summer","Argentina",13,18,13,44
1972,"Summer","Mongolia",0,2,3,5
1972,"Summer","Ghana",0,1,2,3
1972,"Summer","Niger",0,0,1,1
1972,"Winter","Germany",24,19,23,66
